"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Liverpool",1,1,0,32,23,2,7,76,83,22,61,100,52.6,0
"Manchester City",2,2,0,31,23,3,5,74,72,20,52,100,47.3,0
"Chelsea",3,3,0,30,18,4,8,62,64,23,41,99.7,0.1,0
"Tottenham",4,4,0,32,18,11,3,57,56,38,18,65.9,0,0
"Arsenal",5,5,0,31,17,11,3,54,45,37,8,29.9,0,0
"Manchester Utd",6,7,1,33,15,9,9,54,52,48,4,3.4,0,0
"West Ham",7,6,-1,33,15,11,7,52,52,43,9,1,0,0
"Wolves",8,8,0,32,15,13,4,49,33,28,5,0,0,0
"Leicester City",9,9,0,30,11,12,7,40,46,50,-4,0.1,0,0
"Brighton",10,11,1,32,9,10,13,40,29,37,-8,0,0,0
"Brentford",11,13,2,33,11,16,6,39,41,49,-8,0,0,0.1
"Southampton",12,14,2,32,9,11,12,39,38,52,-14,0,0,0
"Crystal Palace",13,10,-3,31,8,10,13,37,43,40,3,0,0,0
"Newcastle Utd",14,15,1,32,9,13,10,37,36,55,-19,0,0,0.1
"Aston Villa",15,12,-3,31,11,17,3,36,42,46,-4,0,0,0.1
"Leeds United",16,16,0,32,8,15,9,33,38,68,-30,0,0,6.9
"Everton",17,17,0,30,8,18,4,28,33,52,-19,0,0,26.7
"Burnley",18,18,0,31,4,14,13,25,26,45,-19,0,0,69.2
"Watford",19,19,0,32,6,22,4,22,30,62,-32,0,0,97.7
"Norwich City",20,20,0,32,5,21,6,21,22,66,-44,0,0,99.2
